nohup: ignoring input
/bin/bash: /opt/conda/lib/libtinfo.so.6: no version information available (required by /bin/bash)
==========================================
Starting CTGAN sample generation on GPU 0
==========================================

=== Processing 7000 samples ===
Running ctgan_sample_7000_1.py...
[I 2025-12-17 11:10:00,009] A new study created in memory with name: no-name-62666be6-ea93-4bce-83e6-c7505848095b
[I 2025-12-17 11:10:21,026] Trial 0 finished with value: -16.958676822986835 and parameters: {'embedding_dim': 117, 'generator_dim': (128, 128), 'discriminator_dim': (128, 128), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 3}. Best is trial 0 with value: -16.958676822986835.
[I 2025-12-17 11:10:26,771] Trial 1 finished with value: -90.0565004361536 and parameters: {'embedding_dim': 71, 'generator_dim': (64, 64), 'discriminator_dim': (128, 128), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 2}. Best is trial 0 with value: -16.958676822986835.
[I 2025-12-17 11:10:36,893] Trial 2 finished with value: -6.8700827818163175 and parameters: {'embedding_dim': 109, 'generator_dim': (64, 64), 'discriminator_dim': (128, 128), 'pac': 4, 'batch_size': 128, 'discriminator_steps': 2}. Best is trial 2 with value: -6.8700827818163175.
[I 2025-12-17 11:10:51,604] Trial 3 finished with value: -420.9820023585804 and parameters: {'embedding_dim': 108, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 8, 'batch_size': 64, 'discriminator_steps': 1}. Best is trial 2 with value: -6.8700827818163175.
[I 2025-12-17 11:11:06,179] Trial 4 finished with value: -31.267797955799413 and parameters: {'embedding_dim': 64, 'generator_dim': (64, 64), 'discriminator_dim': (128, 128), 'pac': 8, 'batch_size': 64, 'discriminator_steps': 1}. Best is trial 2 with value: -6.8700827818163175.
[I 2025-12-17 11:11:20,807] Trial 5 finished with value: -103.23149007290866 and parameters: {'embedding_dim': 124, 'generator_dim': (64, 64), 'discriminator_dim': (64, 64), 'pac': 8, 'batch_size': 64, 'discriminator_steps': 1}. Best is trial 2 with value: -6.8700827818163175.
[I 2025-12-17 11:11:30,842] Trial 6 finished with value: -40.6504305875223 and parameters: {'embedding_dim': 120, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 128, 'discriminator_steps': 2}. Best is trial 2 with value: -6.8700827818163175.
[I 2025-12-17 11:11:53,702] Trial 7 finished with value: -5.7676045948218215 and parameters: {'embedding_dim': 99, 'generator_dim': (64, 64), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 64, 'discriminator_steps': 2}. Best is trial 7 with value: -5.7676045948218215.
[I 2025-12-17 11:12:00,149] Trial 8 finished with value: -38.098984626540854 and parameters: {'embedding_dim': 81, 'generator_dim': (64, 64), 'discriminator_dim': (64, 64), 'pac': 8, 'batch_size': 128, 'discriminator_steps': 1}. Best is trial 7 with value: -5.7676045948218215.
[I 2025-12-17 11:12:23,008] Trial 9 finished with value: -6.945142252710051 and parameters: {'embedding_dim': 97, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 8, 'batch_size': 64, 'discriminator_steps': 2}. Best is trial 7 with value: -5.7676045948218215.
[I 2025-12-17 11:12:53,992] Trial 10 finished with value: -62.35848386687617 and parameters: {'embedding_dim': 89, 'generator_dim': (64, 64), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 64, 'discriminator_steps': 3}. Best is trial 7 with value: -5.7676045948218215.
[I 2025-12-17 11:13:03,950] Trial 11 finished with value: -34.54721217347493 and parameters: {'embedding_dim': 104, 'generator_dim': (64, 64), 'discriminator_dim': (128, 128), 'pac': 4, 'batch_size': 128, 'discriminator_steps': 2}. Best is trial 7 with value: -5.7676045948218215.
[I 2025-12-17 11:13:17,259] Trial 12 finished with value: -17.523556530471474 and parameters: {'embedding_dim': 109, 'generator_dim': (64, 64), 'discriminator_dim': (128, 128), 'pac': 4, 'batch_size': 128, 'discriminator_steps': 3}. Best is trial 7 with value: -5.7676045948218215.
[I 2025-12-17 11:13:27,056] Trial 13 finished with value: -13.402383326784395 and parameters: {'embedding_dim': 94, 'generator_dim': (64, 64), 'discriminator_dim': (128, 128), 'pac': 4, 'batch_size': 128, 'discriminator_steps': 2}. Best is trial 7 with value: -5.7676045948218215.
[I 2025-12-17 11:13:32,752] Trial 14 finished with value: -6.621258002547933 and parameters: {'embedding_dim': 101, 'generator_dim': (64, 64), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 2}. Best is trial 7 with value: -5.7676045948218215.
[I 2025-12-17 11:13:40,341] Trial 15 finished with value: -41.36895368900822 and parameters: {'embedding_dim': 84, 'generator_dim': (64, 64), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 3}. Best is trial 7 with value: -5.7676045948218215.
[I 2025-12-17 11:13:46,267] Trial 16 finished with value: -65.33990291781267 and parameters: {'embedding_dim': 99, 'generator_dim': (64, 64), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 2}. Best is trial 7 with value: -5.7676045948218215.
[I 2025-12-17 11:13:53,813] Trial 17 finished with value: -6.851264163834833 and parameters: {'embedding_dim': 78, 'generator_dim': (64, 64), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 3}. Best is trial 7 with value: -5.7676045948218215.
[I 2025-12-17 11:13:59,495] Trial 18 finished with value: -4.010865985778317 and parameters: {'embedding_dim': 90, 'generator_dim': (128, 128), 'discriminator_dim': (64, 64), 'pac': 4, 'batch_size': 256, 'discriminator_steps': 2}. Best is trial 18 with value: -4.010865985778317.
